Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0175775230216608,-0.496311876133866,-0.111316109303289,0,0,0,0.728624998937193,0.0106632156792804,4.86107569003218E-07,4.52643742446012E-22,0.014046949737072,6.51440500250098E-19,0.0247071294788568,0,0,0,0,0,0,package://tjark_agv/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tjark_agv/meshes/base_link.STL,,agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-001_____________.STEP.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_body,-0.0625397761464612,-0.0617890042368707,-0.0890930358739272,0,0,0,5.86157279552131,0.0135388124689225,1.4051306818933E-05,-1.66037891384612E-05,0.0229000846382633,0.000162706625260158,0.0174489188147559,0,0,0,0,0,0,package://tjark_agv/meshes/base_body.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tjark_agv/meshes/base_body.STL,,agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/____10_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/BLC02-B6-L25.STEP.STEP-2;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/BLC02-B6-L25.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-010_____________.STEP.STEP-2;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-XNJ05_____________.STEP.STEP-6;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-XNJ06_____________.STEP.STEP-4;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/____ KP000 ____10mm_____________.STEP.STEP-3;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-006_____________.STEP.STEP-4;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-XNJ06_____________.STEP.STEP-3;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-004_____________.STEP.STEP-3;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-XNJ06_____________.STEP.STEP-2;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-XNJ03_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-018_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-007_____________.STEP.STEP-2;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-003_____________.STEP.STEP-2;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-XNJ05_____________.STEP.STEP-7;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-XNJ05_____________.STEP.STEP-5;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-029_____________.STEP.STEP-2;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-029_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-030_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-XNJ05_____________.STEP.STEP-4;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-XNJ02_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/____ KP000 ____10mm_____________.STEP.STEP-4;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/Z4BLD60-24GN-30S_____________.STEP.STEP-2;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-004_____________.STEP.STEP-4;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-XNJ06_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-005_____________.STEP.STEP-2;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-006_____________.STEP.STEP-3;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/____15x3__4mm_____________.STEP.STEP-4;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-021_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-015_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/____15x3__4mm_____________.STEP.STEP-3;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/____15x3__4mm_____________.STEP.STEP-2;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/____15x3__4mm_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-024_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-023_____________.STEP.STEP-2;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-015_____________.STEP.STEP-2;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-XNJ07_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-023_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-020_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-016.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-XNJ05_____________.STEP.STEP-3;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/ZD510_____________.STEP.STEP-2;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/____ KP000 ____10mm_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-021_____________.STEP.STEP-2;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-017_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/SMA_____________________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-012_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-XNJ05_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/SMA_____________________.STEP.STEP-2;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/TP-LINK TL-WR842N 300M_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-XNJ01_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-011_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/24V20ah(____260x136x40mm)_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/____ KP000 ____10mm_____________.STEP.STEP-2;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/ZD510_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-XNJ05_____________.STEP.STEP-2;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/Z4BLD60-24GN-30S_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-014_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-013_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-009_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-010_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-008_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-006_____________.STEP.STEP-2;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-XJ00.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-003_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/HFQ80-36_5.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-004_____________.STEP.STEP-2;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-002_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-002_____________.STEP.STEP-2;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-004_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/____2.5mmx____25mmx__80mm_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-006_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-005_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-DZ-007_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-XJ00.STEP.STEP-1/10________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-XJ00.STEP.STEP-1/WH-0545-DZ-032.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-XJ00.STEP.STEP-1/WH-0545-DZ-031.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-XJ00.STEP.STEP-1/____________(JY263-B)_____________.STEP.STEP-1;agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-XJ00.STEP.STEP-1/______________________Astra Pro Plus______________.STEP.STEP-1/____ TS-R450-v7.0-B15 __________X^______________________Astra Pro Plus______________.STEP.STEP-1,Origin_body_to_base,Axis_body_to_base,body_to_base,fixed,0.0910304262953284,-0.439267303074538,0.0528804871592127,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
laser_link,-0.00174086748706212,-3.12623898990338E-09,-0.0101893314213834,0,0,0,0.219154500646501,0.000164971113270255,2.80630614931539E-11,-7.11310388791941E-07,0.000170626960543283,3.42457934856856E-11,0.000110987626865618,0,0,0,0,0,0,package://tjark_agv/meshes/laser_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tjark_agv/meshes/laser_link.STL,,agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-XNJ04_____________.STEP.STEP-1,f_laser,l_laser,laser_to_body,fixed,-0.057039,-0.041697,-0.23945,-1.5708,1.5708,0,base_body,0,0,0,,,,,,,,,,,,
camera_link,-0.000109028123903232,0.000188157745037734,0.00329381778037804,0,0,0,0.198968145464809,0.000101594028649237,3.64921563400389E-07,1.28233782193605E-06,0.000467759482609897,-1.228246356247E-05,0.000431155075123243,0,0,0,0,0,0,package://tjark_agv/meshes/camera_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tjark_agv/meshes/camera_link.STL,,agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/WH-0545-XJ00.STEP.STEP-1/______________________Astra Pro Plus______________.STEP.STEP-1/____ ________X^______________________Astra Pro Plus______________.STEP.STEP-1,Origin_camera_to_body,Axis_camera_to_body,camera_to_body,fixed,-0.0570392490056422,0.113953403537498,-0.192999999999999,-1.5707963267949,0,3.14159265358979,base_body,0,0,0,,,,,,,,,,,,
left_wheel,3.32003410137387E-05,1.47427065758099E-06,0.0206360203406354,0,0,0,0.223430950895449,0.000335456894762655,3.8449253597207E-09,-2.4684661348122E-09,0.00033531738326045,-1.1905121645767E-10,0.000619591424139698,0,0,0,0,0,0,package://tjark_agv/meshes/left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tjark_agv/meshes/left_wheel.STL,,agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/____125mmx____38mmx____18mm_____________.STEP.STEP-1,f_L,l_LR,left_to_base,continuous,0.01753,-0.68851,-0.12182,-1.5708,0,0,base_link,0,0,-1,,,,,,,,,,,,
right_wheel,-3.31951458207025E-05,1.58725489640688E-06,-0.0206360203414102,0,0,0,0.223430950718916,0.000335456866973021,-4.31963414625839E-09,-2.46806031119726E-09,0.000335317411029562,1.27480077913439E-10,0.0006195914241366,0,0,0,0,0,0,package://tjark_agv/meshes/right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tjark_agv/meshes/right_wheel.STL,,agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/____125mmx____38mmx____18mm_____________.STEP.STEP-2,f_R,l_LR,right_to_base,continuous,0.01753,-0.3041,-0.12182,-1.5708,0,0,base_link,0,0,-1,,,,,,,,,,,,
RF_link,-0.000128033411647507,0.0184859887776221,0.0304465357447478,0,0,0,0.0760737664029981,5.5057609994028E-05,8.34335786410532E-08,1.1743452062678E-07,4.00423340871853E-05,-1.5107283917568E-05,3.51643333652178E-05,0,0,0,0,0,0,package://tjark_agv/meshes/RF_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tjark_agv/meshes/RF_link.STL,,agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/2____________70mm_______________________.STEP.STEP-4,f_RF,l_RF,RF_to_base,fixed,-0.12047,-0.40231,-0.11632,-3.1416,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
RB_link,0.000128033411647521,-0.0184859887776221,0.0304465357447477,0,0,0,0.0760737664029981,5.50576099940281E-05,8.34335786410261E-08,-1.17434520626753E-07,4.00423340871853E-05,1.51072839175681E-05,3.51643333652178E-05,0,0,0,0,0,0,package://tjark_agv/meshes/RB_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tjark_agv/meshes/RB_link.STL,,agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/2____________70mm_______________________.STEP.STEP-3,f_RB,l_RB,RB_to_base,fixed,0.15553,-0.40231,-0.11632,3.1416,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
LF_link,-0.000128033411647424,0.0184859887776221,0.0304465357447477,0,0,0,0.0760737664029972,5.50576099940275E-05,8.34335786409445E-08,1.17434520626658E-07,4.00423340871849E-05,-1.51072839175678E-05,3.51643333652174E-05,0,0,0,0,0,0,package://tjark_agv/meshes/LF_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tjark_agv/meshes/LF_link.STL,,agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/2____________70mm_______________________.STEP.STEP-2,f_LF,l_LF,LF_to_base,fixed,-0.12047,-0.59031,-0.11632,-3.1416,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
LB_link,-0.000128033411647521,0.0304465357447476,-0.018485988777622,0,0,0,0.0760737664029976,5.50576099940275E-05,1.17434520626629E-07,-8.34335786409097E-08,3.51643333652174E-05,1.51072839175678E-05,4.0042334087185E-05,0,0,0,0,0,0,package://tjark_agv/meshes/LB_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tjark_agv/meshes/LB_link.STL,,agv.STEP-1/20241203-WH-0545-__.STEP.STEP-1/2____________70mm_______________________.STEP.STEP-1,f_LB,l_LB,LB_to_base,fixed,0.15553,-0.59031,-0.11632,-1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
